No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
125,CG,32,42,SMA,SMA,Karyawan,Karyawan,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
126,CG,41,44,S1,S1,PNS,PNS,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
127,CG,34,51,SMP,SD,t.a,Nelayan,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
128,CG,31,32,SMP,SD,t.a,t.a,10,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
129,CT,42,41,SD,SMP,Petani,t.a,22,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
130,CG,29,35,SMP,SD,t.a,Penjual Ikan,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
131,CG,44,32,SMA,SMA,t.a,Penjual Gas Elpiji,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
132,CG,30,39,SMA,D3,Perias Pengantin,t.a,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
133,CG,23,24,SMA,SMA,t.a,Buruh Bangunan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
134,CG,28,33,SMP,SMP,t.a,t.a,10,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
135,CT,31,25,SMA,SMA,Supir,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
136,CG,51,66,SD,SD,t.a,Petani,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
137,CT,38,38,SMA,SMA,Karyawan,Penjual Makanan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
138,CG,52,62,SMA,S1,Perias Pengantin,Reparasi Kursi,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
139,CT,28,24,SMA,SD,Karyawan,t.a,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
140,CG,54,51,S1,SMA,PNS,Buruh Bangunan,31,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
141,CG,29,46,SMP,SMA,t.a,Pegawai Koperasi,10,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
142,CG,44,44,SD,SD,Petani,Petani,23,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
143,CG,31,35,SD,SMA,t.a,Masinis,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
144,CG,27,27,SMA,SMA,Karyawan,Buruh Harian,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
145,CG,39,46,t.a,SMA,t.a,t.a,14,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
146,CG,36,39,SMA,SMP,Karyawan,t.a,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
147,CT,57,49,SMA,SMP,t.a,Penjual Campuran,31,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
148,CG,24,28,SMA,SMA,Penjual Pakaian,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
149,CG,24,25,SD,SD,t.a,Buruh Bangunan,6,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
150,CG,29,31,S1,S1,Honorer,Pegawai Telkom,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
151,CG,30,44,SD,SD,t.a,Petani,13,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
152,CG,33,46,SD,SD,Penjual Makanan,t.a,11,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
153,CG,32,39,SD,SMP,Penjual Sepatu,Penjual Ikan,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
154,CG,42,45,SMA,S1,Pengusaha Catering,Karyawan,20,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
155,CG,40,41,SMA,SD,Karyawan,t.a,17,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
156,CG,27,28,D3,SMA,Honorer,Karyawan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
157,CG,25,33,SMA,SMA,t.a,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
158,CG,27,36,SMA,SMA,Karyawan,t.a,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
159,CG,42,46,S1,S1,PNS,Kontraktor,16,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
160,CG,30,36,SMP,SMP,Penjual Makanan,Penjual Pakaian,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
161,CG,44,45,SMP,SD,t.a,Petani,23,3,Judi,Tidak Cerai,,,,,
162,CT,37,37,SMA,SMP,Karyawan,t.a,7,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
