No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
638,CG,22,23,SMA,SMA,Karyawan Kantor,Karyawan Mall,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
639,CT,25,21,SMA,SD,Karyawan PT,Karyawan PT,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
640,CT,46,39,SMA,SMA,Karyawan bengkel,t.a,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
641,CG,26,38,SMK,SMA,Karyawan Mall,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
642,CG,37,39,SD,SD,t.a,Buruh Harian,16,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
643,CG,27,30,SD,SMA,t.a,Buruh Harian,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
644,CG,26,31,SMP,SMA,t.a,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
645,CT,34,33,SLTA,D4,PNS,Wiraswasta,6,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
646,CG,46,51,SD,SD,t.a,Petani,28,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
647,CG,21,31,SD,SMA,t.a,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
648,CT,44,32,SMA,SD,Karyawan CV,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
649,CG,23,41,SD,SD,t.a,Petani,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
650,CG,50,55,SD,SD,t.a,Supir,25,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
651,CG,25,31,SMK,SMA,t.a,Security,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
652,CT,49,48,tdk,tdk,PNS,t.a,17,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
653,CG,26,31,SD,SD,t.a,Supir,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
654,CT,52,49,SD,SMP,Buruh Bangunan,t.a,29,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
655,CG,27,30,SD,SMA,Karyawan Gedung,Security,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
656,CG,25,38,SMA,SD,Penjual Baju,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
657,CT,29,62,t.a,SMA,Karyawan,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
658,CG,36,39,tdk,tdk,Wiraswasta,Wiraswasta,14,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
659,CG,21,25,SMP,SMA,t.a,Petani,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
660,CG,26,37,SD,SD,t.a,Petani,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
661,CG,47,47,SMA,SMA,Penjahit Kain,t.a,25,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
662,CG,26,36,SD,SD,Karyawan PT,Pencuci Motor,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
663,CG,39,57,SD,SD,t.a,t.a,25,6,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
664,CT,30,30,S1,S1,Karyawan,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
665,CG,20,28,SMA,S1,Karyawan,Karyawan,6 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
666,CG,47,51,SMP,SD,t.a,Petani,29,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
667,CG,30,47,SD,SD,t.a,Petani Tambak,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
668,CT,25,26,SMK,SMA,Honorer,t.a,4,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
669,CG,35,37,S1,S1,Honorer,Honorer,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
670,CT,36,39,SMA,SMA,t.a,t.a,3,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
671,CT,24,26,SMK,S1,TNI,PNS,2,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
672,CG,46,36,SD,SD,Penjual Minuman ,Petani,16,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
673,CG,25,31,SMA,SD,Karyawan Toko Roti,Supir,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
674,CT,30,28,SLTA,SLTA,Karyawan,Karyawan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
675,CT,26,23,SMA,SMK,Karyawan,t.a,7 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
676,CG,38,42,D3,SMP,Penjual Kosmetik,Penjual Kosmetik,17,5,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
677,CG,26,24,SMP,SD,Karyawan CV,Karyawan PT,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
678,CG,22,26,SD,SMA,Penjual Buah,Karyawan PT,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
679,CG,40,40,SMP,SD,Penjahit Pakaian,Penjual Daging,19,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
680,CG,56,65,SD,SMP,Penjual Pakaian,Penjual Barang Campuran,12,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
681,CG,19,23,SD,SMA,Penjual Makanan,t.a,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
682,CG,20,34,SMP,SMA,t.a,Supir,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
683,CG,26,27,S1,SMA,t.a,Petani,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
684,CG,48,58,SMP,SMA,Penjual Perhiasan,t.a,31,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
685,CG,45,57,SMA,SMA,Pemilik CV,Pemilik CV,23,6,Poligami,Tidak Cerai,,,,,
686,CG,34,27,SMA,SMA,t.a,Nelayan,6,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
687,CG,25,27,SD,SD,t.a,Buruh Harian,7,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
688,CG,38,43,S1,SMA,Honorer,Usaha Stiker dan Variasi Mobil,6 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
689,CG,27,36,SD,SMA,t.a,Supir,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
690,CT,28,29,SMA,SMA,Supir,t.a,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
691,CG,36,41,SMA,SMA,t.a,Petani Tambak,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
692,CG,31,32,SMA,SMA,Karyawan Mall,Karyawan Bank,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
693,CG,20,24,SMK,SMA,t.a,Karyawan,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
694,CG,39,51,SD,SLTA,t.a,Wiraswasta,12,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
695,CG,25,29,SMA,SMA,Honorer,t.a,2,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
696,CG,28,38,SMP,SD,t.a,Petani,13,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
697,CT,41,32,S1,S2,PNS,t.a,14,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
698,CG,25,39,SD,SMP,t.a,Supir,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
699,CG,46,50,S1,SMA,PNS,Supir Ekspedisi,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
700,CT,29,22,S1,SMK,Karyawan,t.a,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
701,CG,43,42,SD,SD,t.a,Penjual,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
702,CT,27,26,SD,SD,Buruh Harian,Buruh Harian,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
703,CG,29,44,S1,S1,Karyawan,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
704,CG,39,39,SMA,SMP,t.a,Petani,17,0,Ekonomi,Cerai,,,,,
705,CG,23,33,D3,SMA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
706,CT,50,44,S1,SMA,Pengusaha CV,PNS,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
707,CG,23,33,SD,SD,t.a,Buruh Harian,7,0,Mabuk,Cerai,,,,,
708,CG,22,26,SMA,SD,t.a,Supir,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
709,CG,25,28,SMP,SMP,Karyawan,Karyawan,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
710,CG,26,32,D3,SMA,Karyawan,PNS,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
711,CT,52,51,SD,SD,t.a,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
712,CT,28,33,S1,S1,t.a,t.a,3,1,Kawin Paksa,Cerai,,,,,
713,CG,27,28,SD,SD,t.a,Ojek,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
714,CG,46,53,SMA,SMP,t.a,Pensiunan,23,2,Ekonomi,Cerai,,,,,
715,CG,38,35,SD,SD,Petani,Petani,16,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
716,CG,45,40,SD,SMP,t.a,Petani,8,2,KDRT,Cerai,,,,,
717,CG,31,38,SD,SD,t.a,t.a,14,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
718,CG,38,42,SMA,SMA,t.a,t.a,8,1,KDRT,Cerai,,,,,
719,CT,47,39,SMA,S1,Supir,PNS,20,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
720,CG,32,31,SMP,SMP,Karyawan,Karyawan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
721,CG,32,31,SMP,SMP,Karyawan,Karyawan,3,0,Meninggalkan Salah Satu Pihak,Tidak Cerai,,,,,
722,CG,29,25,SMA,SMA,t.a,Cleaning Service,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
723,CG,25,27,SMP,SD,t.a,t.a,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
724,CG,41,50,S1,S1,PNS,PNS,3,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
725,CT,32,24,SMP,SD,Buruh Bangunan,t.a,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
726,CG,20,43,SD,SD,t.a,Petani,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
727,CG,28,30,SMA,SMK,Karyawan,Karyawan,12,2,KDRT,Cerai,,,,,
728,CG,29,29,SD,t.a,t.a,Petani,8,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
729,CG,40,62,S1,S1,PNS,PNS,13,3,Poligami,Cerai,,,,,
730,CT,32,29,SMA,SMA,Security,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
731,CG,19,31,SMP,SMA,Petani,Petani,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
732,CG,29,23,SD,SMP,Petani,Petani,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
733,CG,36,42,SD,SMA,Karyawan,t.a,15,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
734,CG,35,35,SMP,SMP,Karyawan,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
735,CG,44,47,SD,SMA,t.a,Penjual Ikan,25,4,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
736,CG,24,34,SD,SD,t.a,Wiraswasta,6,1,Mabuk,Cerai,,,,,
737,CT,35,33,SD,SD,Petani Tambak,t.a,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
738,CG,20,24,SMA,SMA,t.a,Buruh Bangunan,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
739,CG,29,35,SMP,SMP,t.a,Buruh Bangunan,9,1,KDRT,Cerai,,,,,
740,CG,26,29,SD,SD,Penjual Sayur,Petani,5,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
741,CT,39,32,SMA,SD,Karyawan,t.a,15,2,KDRT,Cerai,,,,,
742,CT,37,36,SMA,SMA,Karyawan,Karyawan,7,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
743,CG,26,28,SMA,SMP,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
744,CG,30,40,SMP,SD,Penjual Pakaian,Petani,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
745,CG,27,31,SMA,SD,Karyawan,t.a,5,0,KDRT,Cerai,,,,,
746,CG,32,31,S1,SMA,Honorer,Petani,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
747,CG,21,41,SMP,SMP,t.a,Karyawan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Batal,,,,,
748,CT,31,31,SMA,SMA,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
749,CG,26,31,SD,SD,Karyawan,Nelayan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
750,CT,42,33,SMA,SMA,Penjual Ayam,t.a,11,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
751,CT,29,27,S1,SMK,Karyawan,t.a,5,1,KDRT,Cerai,,,,,
752,CT,33,50,SMP,SMA,Karyawan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
753,CT,26,28,SMA,SMA,Pelaut,t.a,6,2,Meninggalkan Salah Satu Pihak,Batal,,,,,
754,CG,27,26,SMA,SMP,Karyawan,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
755,CG,22,24,SD,SD,t.a,Petani,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
756,CG,43,55,SMA,SMA,Karyawan,PNS,26,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
757,CT,27,29,SMK,D3,Security,PNS,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
758,CG,21,27,SMA,SMA,t.a,Karyawan,3,0,Mabuk,Tidak Cerai,,,,,
759,CT,31,23,SD,SMP,Petani,t.a,8,1,Ekonomi,Cerai,,,,,
760,CT,48,30,SD,SMP,Tukang Cukur,t.a,11,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
761,CG,19,22,SMK,SMA,t.a,t.a,2,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
762,CT,35,32,SD,SMA,Tukang Batu,t.a,5,1,KDRT,Cerai,,,,,
763,CG,48,30,SMA,SMP,t.a,t.a,5,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
764,CG,36,38,S1,S1,Honorer,t.a,5,1,Poligami,Cerai,,,,,
765,CG,28,31,SMK,S1,t.a,t.a,5,2,KDRT,Cerai,,,,,
766,CG,25,26,SD,SD,t.a,Karyawan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
767,CG,27,33,SMA,SMA,t.a,Security,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
768,CG,30,26,SMA,SMA,t.a,Supir,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
769,CG,40,46,SMP,SMP,t.a,Nelayan,17,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
770,CG,50,55,SD,SD,t.a,Supir,36,1,KDRT,Cerai,,,,,
771,CG,33,30,S1,SMA,Penjual,Karyawan,5,1,Ekonomi,Tidak Cerai,,,,,
772,CT,37,36,SD,SD,Penjual Ikan,t.a,17,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
773,CG,36,28,SMA,SD,t.a,Nelayan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
774,CG,24,28,SMA,SD,t.a,Petani Tambak,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
775,CG,29,39,SD,SMA,Karyawan,Cleaning Service,3,0,KDRT,Cerai,,,,,
776,CG,27,38,S1,SMA,t.a,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
777,CT,36,35,S1,S1,Pengusaha,Honorer,15,3,Ekonomi,Tidak Cerai,,,,,
778,CT,40,26,SMA,SMP,Karyawan,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
779,CG,38,39,SMA,SMA,t.a,Karyawan,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
780,CG,21,27,SMA,t.a,t.a,t.a,4,0,KDRT,Cerai,,,,,
781,CG,24,32,SD,SD,t.a,Petani Tambak,7,2,KDRT,Cerai,,,,,
782,CG,31,38,SMA,SMA,Honorer,Pedagang,10,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
783,CT,24,20,SMA,t.a,Karyawan,Karyawan,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
784,CG,36,38,SD,SD,t.a,Penjual Ikan,21,3,Poligami,Cerai,,,,,
785,CG,41,41,SMA,SMA,t.a,Karyawan,18,2,KDRT,Tidak Cerai,,,,,
786,CG,22,24,SMP,SD,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
787,CG,37,31,SMA,SMA,t.a,t.a,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
788,CG,43,41,SMP,SMP,t.a,t.a,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
789,CG,41,59,SMA,SD,t.a,Petani,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
790,CG,26,31,SMA,SMA,t.a,Karyawan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
791,CT,53,47,SMK,SD,PNS,t.a,1,0,KDRT,Cerai,,,,,
792,CG,31,37,SMP,SMP,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
793,CG,31,34,S1,D3,Karyawan,Karyawan,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
794,CG,34,46,SD,SD,t.a,t.a,15,1,KDRT,Cerai,,,,,
795,CT,30,29,S1,D3,Honorer,Honorer,4,2,Ekonomi,Tidak Cerai,,,,,
796,CG,30,32,SMP,SMA,t.a,Honorer,2,0,KDRT,Cerai,,,,,
797,CG,49,42,SMA,SMA,t.a,Karyawan,17,3,KDRT,Cerai,,,,,
798,CG,50,45,SMA,STM,PNS,t.a,3,0,KDRT,Cerai,,,,,
799,CG,40,43,SD,SD,t.a,Petani,5,1,Mabuk,Tidak Cerai,,,,,
800,CG,43,46,SD,SD,Karyawan,Petani Tambak,25,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
801,CG,23,24,SMA,SMA,Karyawan,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
802,CT,28,27,SMA,SMA,t.a,t.a,4,0,KDRT,Cerai,,,,,
803,CG,41,44,SMK,SMK,t.a,Makelar,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
804,CT,55,47,SD,t.a,Penjual,Penjual,29,5,Meninggalkan Salah Satu Pihak,Cerai,,,,,
805,CG,20,27,SD,SMA,t.a,t.a,3,1,KDRT,Cerai,,,,,
806,CT,45,43,SMA,SMA,Karyawan,Wiraswasta,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
807,CG,49,56,SD,t.a,Buruh Harian,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
808,CG,38,46,SD,SMA,t.a,Penjual Ikan,21,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
809,CG,24,27,D3,SMA,t.a,Karyawan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
810,CG,30,39,D1,SMA,Usaha Butik,t.a,11,3,KDRT,Cerai,,,,,
811,CT,34,19,SMA,SD,Karyawan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
812,CG,43,42,t.a,SD,t.a,Photografer,10,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
813,CG,35,42,SD,SD,t.a,Petani,24,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
814,CT,30,25,SMP,SD,Buruh Harian,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
815,CT,31,25,S1,S1,Karyawan,PNS,5,0,KDRT,Cerai,,,,,
816,CG,62,50,SPG,S1,Pensiunan,t.a,25,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
817,CG,27,25,D3,SD,Honorer,t.a,1,0,KDRT,Cerai,,,,,
818,CT,34,32,SMK,SMP,Karyawan,t.a,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
819,CG,26,26,D3,S1,Honorer,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
820,CG,30,29,SD,SD,t.a,Makelar,9,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
821,CG,29,43,SMA,SD,Karyawan,Supir,12,2,KDRT,Cerai,,,,,
822,CG,34,27,t.a,SD,t.a,Petani,5,2,Ekonomi,Cerai,,,,,
823,CG,29,32,SD,SMP,t.a,t.a,2,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
824,CG,42,36,SMA,SMA,t.a,Penjual,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
825,CG,32,34,SMA,SMA,Usaha Cathering,t.a,13,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
826,CG,42,30,SMA,SMA,Karyawan,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
827,CT,61,41,t.a,SD,t.a,t.a,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
828,CG,38,39,SMA,SMA,Usaha Toko Roti,Penjual Buah,17,3,KDRT,Cerai,,,,,
829,CG,19,22,SMP,SMP,t.a,Nelayan,2,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
830,CG,19,21,SD,SD,t.a,Supir,2,1,Poligami,Cerai,,,,,
831,CG,31,32,SMA,SMA,t.a,t.a,11,2,KDRT,Cerai,,,,,
832,CG,22,26,SD,SD,Penjual Kepiting,Nelayan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
833,CG,37,48,SMP,S1,Karyawan,Honorer,20,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
834,CG,38,45,SMA,SMA,Honorer,PNS,19,2,KDRT,Cerai,,,,,
835,CG,32,33,SMP,SMA,Usaha Konter,Karyawan,10,0,KDRT,Cerai,,,,,
836,CG,29,35,SMP,SMP,t.a,Buruh Bangunan,9,1,KDRT,Cerai,,,,,
837,CG,22,25,SD,SD,t.a,Petani,5,1,KDRT,Cerai,,,,,
838,CG,27,25,SMA,SMA,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
839,CG,31,32,SMA,SMA,t.a,Polri,10,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
840,CG,29,33,SMA,SD,t.a,t.a,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
841,CG,20,23,SMP,SD,Karyawan,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
842,CT,28,24,SMA,SMA,Karyawan,Honorer,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
843,CG,27,33,SMA,SMA,Penjual,Karyawan,8,2,KDRT,Cerai,,,,,
844,CG,41,52,S1,S1,PNS,PNS,8,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
845,CT,34,35,SMA,SMA,TNI,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
846,CG,48,54,SMP,SMP,t.a,Pensiunan,20,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
847,CG,41,43,SD,SMP,t.a,Petani,22,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
848,CG,24,26,SMA,SMA,Cleaning Service,Security,5,1,KDRT,Cerai,,,,,
849,CG,40,41,SMA,SMA,Honorer,PNS,14,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
850,CG,36,27,S1,SMP,Honorer,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
851,CG,44,49,SMA,SMA,Karyawan,t.a,19,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
852,CG,20,24,SMP,SD,Karyawan,Supir,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
853,CG,26,26,S1,SMA,t.a,PNS,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
854,CG,38,39,SMA,SMP,Penjual Pakaian,t.a,16,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
855,CT,34,30,S1,S1,Wiraswasta,PNS,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
856,CT,31,26,S1,SMA,Honorer,t.a,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
857,CG,21,25,SMP,SMP,t.a,t.a,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
858,CG,29,39,SMP,SMA,t.a,Karyawan,6,1,KDRT,Cerai,,,,,
859,CG,26,28,SMA,SMA,t.a,t.a,2,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
860,CT,24,30,SMA,SD,Karyawan,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
861,CG,33,28,SD,SD,t.a,Supir,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
862,CG,22,34,SD,SD,t.a,Wiraswasta,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
863,CT,33,31,SD,SD,Nelayan,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
864,CG,28,26,S1,S1,t.a,Karyawan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
865,CG,27,32,SD,SD,Karyawan,Tukang Batu,7,0,Kawin Paksa,Cerai,,,,,
866,CG,27,41,SD,SD,t.a,Penjual,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
867,CG,28,29,SD,SD,Karyawan,Supir,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
